Species	Ensembl ID	Gene Name	Log2FC	FDR
Human	ENSG00000124201	ZNFX1	3.01712	0
Human	ENSG00000154760	SLFN13	3.01432	7.87293E-26
Human	ENSG00000055332	EIF2AK2	2.99012	0
Human	ENSG00000132274	TRIM22	2.97861	0
Human	ENSG00000130813	C19orf66	2.97152	0
Human	ENSG00000108691	CCL2	2.95176	0
Human	ENSG00000025708	TYMP	2.94418	0
Human	ENSG00000152778	IFIT5	2.92293	0
Human	ENSG00000178685	PARP10	2.92291	0
Human	ENSG00000155287	SLC25A28	2.92228	0
Human	ENSG00000112343	TRIM38	2.91905	0
Human	ENSG00000215068	AC025171.1	2.91459	1.4013E-45
Human	ENSG00000096968	JAK2	2.91196	9.37371E-24
Human	ENSG00000090339	ICAM1	2.90142	0
Human	ENSG00000168310	IRF2	2.89847	0
Human	ENSG00000141664	ZCCHC2	2.89307	0
Human	ENSG00000165949	IFI27	2.89041	0
Human	ENSG00000116514	RNF19B	2.8833	0
Human	ENSG00000254859	RP11-661A12.5	2.87718	6.49101E-18
Human	ENSG00000163565	IFI16	2.87499	0
Human	ENSG00000146411	SLC2A12	2.87244	4.67011E-23
Human	ENSG00000196517	SLC6A9	2.86917	5.71184E-20
Human	ENSG00000139832	RAB20	2.85982	2.3696E-42
Human	ENSG00000169255	B3GALNT1	2.85934	0
Human	ENSG00000120539	MASTL	2.85139	1.63693E-38
Human	ENSG00000241106	HLA-DOB	2.8503	6.52806E-21
Human	ENSG00000164136	IL15	2.83097	1.9911E-41
Human	ENSG00000070759	TESK2	2.83082	5.60519E-45
Human	ENSG00000140464	PML	2.81492	0
Human	ENSG00000137752	CASP1	2.80292	0
Human	ENSG00000243811	APOBEC3D	2.79112	6.90346E-36
Human	ENSG00000127954	STEAP4	2.78785	2.58424E-13
Human	ENSG00000242600	MBL1P	2.78539	1.09865E-15
Human	ENSG00000171049	FPR2	2.76407	1.11889E-13
Human	ENSG00000117461	PIK3R3	2.76135	0
Human	ENSG00000171509	RXFP1	2.76009	1.09161E-24
Human	ENSG00000182179	UBA7	2.75942	0
Human	ENSG00000137462	TLR2	2.75332	1.74928E-40
Human	ENSG00000184988	TMEM106A	2.74036	0
Human	ENSG00000205364	MT1M	2.73471	0
Human	ENSG00000138798	EGF	2.73387	1.81192E-12
Human	ENSG00000089041	P2RX7	2.73201	3.2058E-29
Human	ENSG00000204261	PSMB8-AS1	2.73039	1.29894E-32
Human	ENSG00000114127	XRN1	2.72604	0
Human	ENSG00000115271	GCA	2.72229	1.68012E-17
Human	ENSG00000003400	CASP10	2.71779	8.24936E-18
Human	ENSG00000177875	CCDC184	2.70335	3.23028E-32
Human	ENSG00000172613	RAD9A	2.69549	0
Human	ENSG00000266970	RP11-806H10.4	2.69278	7.05984E-15
Human	ENSG00000165923	AGBL2	2.68644	8.7374E-19
Human	ENSG00000115415	STAT1	2.68534	0
Human	ENSG00000213492	NT5C3AP1	2.68243	8.22039E-28
Human	ENSG00000060491	OGFR	2.67467	5.03923E-33
Human	ENSG00000149633	KIAA1755	2.6547	0
Human	ENSG00000273174	RP11-434H6.6	2.64429	2.19439E-18
Human	ENSG00000136114	THSD1	2.6441	0
Human	ENSG00000163251	FZD5	2.64045	6.24437E-28
Human	ENSG00000183153	GJD3	2.63937	2.00797E-26
Human	ENSG00000172716	SLFN11	2.63177	2.75137E-13
Human	ENSG00000141574	SECTM1	2.62519	0
Human	ENSG00000180628	PCGF5	2.60534	0
Human	ENSG00000078018	MAP2	2.58642	8.12303E-31
Human	ENSG00000151466	SCLT1	2.58357	9.42797E-39
Human	ENSG00000203797	DDO	2.56449	4.32332E-23
Human	ENSG00000173786	CNP	2.56139	0
Human	ENSG00000177989	ODF3B	2.55803	6.78214E-13
Human	ENSG00000140511	HAPLN3	2.55389	9.45422E-22
Human	ENSG00000156587	UBE2L6	2.54257	0
Human	ENSG00000122643	NT5C3A	2.54087	0
Human	ENSG00000253958	CLDN23	2.53801	4.09517E-21
Human	ENSG00000185015	CA13	2.52981	1.08569E-23
Human	ENSG00000137842	TMEM62	2.51768	4.2039E-45
Human	ENSG00000135077	HAVCR2	2.51382	1.45481E-26
Human	ENSG00000135148	TRAFD1	2.50785	0
Human	ENSG00000245556	SCAMP1-AS1	2.4974	3.65419E-34
Human	ENSG00000169946	ZFPM2	2.48563	8.06707E-17
Human	ENSG00000163131	CTSS	2.47966	0
Human	ENSG00000170581	STAT2	2.47324	0
Human	ENSG00000165259	HDX	2.4494	9.74227E-36
Human	ENSG00000185404	SP140L	2.4484	0
Human	ENSG00000187210	GCNT1	2.4399	1.09547E-26
Human	ENSG00000234883	MIR155HG	2.43865	2.12414E-16
Human	ENSG00000067066	SP100	2.43289	0
Human	ENSG00000105287	PRKD2	2.42487	0
Human	ENSG00000204540	PSORS1C1	2.42305	3.59446E-19
Human	ENSG00000072121	ZFYVE26	2.42126	0
Human	ENSG00000250133	HOXC-AS2	2.4177	8.35749E-38
Human	ENSG00000060718	COL11A1	2.41656	2.89096E-24
Human	ENSG00000153495	TEX29	2.40367	1.01585E-17
Human	ENSG00000146409	SLC18B1	2.39127	6.55069E-35
Human	ENSG00000166801	FAM111A	2.38915	1.42672E-35
Human	ENSG00000128652	HOXD3	2.38851	7.57266E-29
Human	ENSG00000114450	GNB4	2.37613	0
Human	ENSG00000179627	ZBTB42	2.37186	2.76094E-31
Human	ENSG00000204138	PHACTR4	2.3685	0
Human	ENSG00000107864	CPEB3	2.35521	2.05373E-18
Human	ENSG00000100226	GTPBP1	2.34518	0
Human	ENSG00000168779	SHOX2	2.34205	0
Human	ENSG00000204264	PSMB8	2.33906	0
Human	ENSG00000104432	IL7	2.33775	2.21054E-26
Human	ENSG00000038210	PI4K2B	2.33599	5.46506E-43
Human	ENSG00000158683	PKD1L1	2.33333	5.46056E-15
Human	ENSG00000129667	RHBDF2	2.32761	1.47056E-39
Human	ENSG00000269609	RPARP-AS1	2.32685	1.1782E-09
Human	ENSG00000137265	IRF4	2.32283	6.36486E-15
Human	ENSG00000103966	EHD4	2.31526	0
Human	ENSG00000234127	TRIM26	2.30203	0
Human	ENSG00000150510	FAM124A	2.28916	2.25508E-39
Human	ENSG00000175643	RMI2	2.28873	1.77701E-12
Human	ENSG00000076067	RBMS2	2.27527	4.75707E-25
Human	ENSG00000111801	BTN3A3	2.26003	0
Human	ENSG00000106100	NOD1	2.25728	2.99605E-35
Human	ENSG00000205220	PSMB10	2.24859	2.28218E-40
Human	ENSG00000154642	C21orf91	2.24225	1.21589E-24
Human	ENSG00000100490	CDKL1	2.24116	5.343E-22
Human	ENSG00000000971	CFH	2.22714	6.64975E-24
Human	ENSG00000013374	NUB1	2.22572	0
Human	ENSG00000196814	MVB12B	2.22119	8.44163E-34
Human	ENSG00000261884	CTC-479C5.12	2.22055	1.5468E-11
Human	ENSG00000121060	TRIM25	2.22031	0
Human	ENSG00000184292	TACSTD2	2.21937	9.3624E-17
Human	ENSG00000082175	PGR	2.21716	2.69759E-15
Human	ENSG00000244731	C4A	2.20879	1.81019E-10
Human	ENSG00000118777	ABCG2	2.20501	1.19291E-11
Human	ENSG00000145016	RUBCN	2.2018	0
Human	ENSG00000130224	LRCH2	2.20015	5.9391E-27
Human	ENSG00000229474	PATL2	2.19749	1.78549E-12
Human	ENSG00000176928	GCNT4	2.19699	5.10832E-15
Human	ENSG00000043143	JADE2	2.19354	0
Human	ENSG00000160888	IER2	2.1793	1.09007E-41
Human	ENSG00000112773	FAM46A	2.17678	3.46541E-42
Human	ENSG00000169871	TRIM56	2.17024	0
Human	ENSG00000213250	RBMS2P1	2.16813	8.11359E-27
Human	ENSG00000181126	HLA-V	2.16307	6.36455E-10
Human	ENSG00000170175	CHRNB1	2.16074	2.81039E-26
Human	ENSG00000078401	EDN1	2.13535	7.03683E-06
Human	ENSG00000135903	PAX3	2.12873	6.11244E-28
Human	ENSG00000111912	NCOA7	2.12395	1.13791E-10
Human	ENSG00000223960	AC009948.5	2.1199	1.31553E-19
Human	ENSG00000138190	EXOC6	2.07254	2.51952E-15
Human	ENSG00000237352	LINC01358	2.05845	2.14906E-09
Human	ENSG00000255150	EID3	2.05706	9.70659E-20
Human	ENSG00000120549	KIAA1217	2.05568	0.00136759
Human	ENSG00000151883	PARP8	2.05095	2.46522E-34
Human	ENSG00000172780	RAB43	2.04915	2.6121E-15
Human	ENSG00000167034	NKX3-1	2.04848	1.73431E-33
Human	ENSG00000204397	CARD16	2.04796	7.92896E-11
Human	ENSG00000155363	MOV10	2.04164	0
Human	ENSG00000171621	SPSB1	2.03901	1.67877E-40
Human	ENSG00000163132	MSX1	2.03202	1.23503E-05
Human	ENSG00000225855	RUSC1-AS1	2.0302	2.50334E-12
Human	ENSG00000213533	TMEM110	2.01876	7.49814E-13
Human	ENSG00000005059	CCDC109B	2.0164	2.48323E-31
Human	ENSG00000026950	BTN3A1	2.01078	1.28919E-27
Human	ENSG00000100784	RPS6KA5	2.0101	2.9779E-16
Human	ENSG00000125826	RBCK1	2.00395	0
Human	ENSG00000073331	ALPK1	1.99564	8.72318E-32
Human	ENSG00000160710	ADAR	1.98929	0
Human	ENSG00000170745	KCNS3	1.98905	1.91749E-29
Human	ENSG00000160013	PTGIR	1.98842	2.63361E-25
Human	ENSG00000117475	BLZF1	1.98841	7.79419E-37
Human	ENSG00000132792	CTNNBL1	1.98214	0
Human	ENSG00000172123	SLFN12	1.98003	8.47277E-14
Human	ENSG00000159871	LYPD5	1.97937	2.07099E-11
Human	ENSG00000247317	RP11-273G15.2	1.97424	1.71786E-25
Human	ENSG00000204147	ASAH2B	1.9699	2.82102E-10
Human	ENSG00000168497	SDPR	1.95729	7.82852E-16
Human	ENSG00000104518	GSDMD	1.94647	1.35616E-37
Human	ENSG00000133874	RNF122	1.94511	2.06998E-12
Human	ENSG00000119508	NR4A3	1.94172	6.98004E-20
Human	ENSG00000120526	NUDCD1	1.94119	1.48675E-36
Human	ENSG00000172296	SPTLC3	1.93863	1.91202E-19
Human	ENSG00000144655	CSRNP1	1.93716	1.26007E-33
Human	ENSG00000170522	ELOVL6	1.92866	1.45095E-30
Human	ENSG00000155158	TTC39B	1.92537	6.06644E-32
Human	ENSG00000253210	RP11-809O17.1	1.92311	2.14506E-13
Human	ENSG00000168899	VAMP5	1.921	6.62954E-42
Human	ENSG00000107798	LIPA	1.9187	1.40746E-41
Human	ENSG00000231235	RP11-75A9.1	1.91475	7.09527E-14
Human	ENSG00000214226	C17orf67	1.91293	4.01859E-17
Human	ENSG00000140022	STON2	1.91213	7.74717E-10
Human	ENSG00000087299	L2HGDH	1.91174	5.72621E-10
Human	ENSG00000135605	TEC	1.91078	4.1523E-12
Human	ENSG00000139531	SUOX	1.90577	9.74735E-19
Human	ENSG00000165806	CASP7	1.90418	6.5861E-44
Human	ENSG00000173221	GLRX	1.90411	8.88586E-27
Human	ENSG00000138792	ENPEP	1.90197	4.42891E-09
Human	ENSG00000197646	PDCD1LG2	1.89804	9.94054E-17
Human	ENSG00000108551	RASD1	1.89199	8.56465E-17
Human	ENSG00000121211	MND1	1.88967	1.26658E-08
Human	ENSG00000173083	HPSE	1.88229	1.62288E-15
Human	ENSG00000228035	RP4-663N10.1	1.88103	9.34955E-15
Human	ENSG00000151572	ANO4	1.87378	6.84934E-28
Human	ENSG00000079156	OSBPL6	1.87333	5.64972E-19
Human	ENSG00000020633	RUNX3	1.87246	2.88235E-39
Human	ENSG00000198879	SFMBT2	1.8633	6.10252E-13
Human	ENSG00000138135	CH25H	1.863	1.04335E-08
Human	ENSG00000165997	ARL5B	1.85788	9.23337E-15
Human	ENSG00000165359	DDX26B	1.85769	8.55645E-24
Human	ENSG00000170525	PFKFB3	1.85108	2.50417E-05
Human	ENSG00000021355	SERPINB1	1.84791	1.06206E-12
Human	ENSG00000187479	C11orf96	1.84367	1.09691E-29
Human	ENSG00000067221	STOML1	1.84331	3.84176E-28
Human	ENSG00000243649	CFB	1.83703	8.45761E-11
Human	ENSG00000267102	RP11-686D22.7	1.83037	1.36913E-15
Human	ENSG00000105509	HAS1	1.82893	4.20672E-16
Human	ENSG00000006747	SCIN	1.82752	2.18161E-13
Human	ENSG00000172493	AFF1	1.81934	3.03977E-38
Human	ENSG00000062598	ELMO2	1.80511	4.93257E-43
Human	ENSG00000178033	FAM26E	1.80191	7.58448E-07
Human	ENSG00000100911	PSME2	1.79193	1.166E-37
Human	ENSG00000183580	FBXL7	1.79106	3.70287E-38
Human	ENSG00000135074	ADAM19	1.78843	6.86213E-29
Human	ENSG00000136169	SETDB2	1.7877	4.27328E-23
Human	ENSG00000230795	HLA-K	1.78726	3.54721E-13
Human	ENSG00000197261	C6orf141	1.77881	2.64304E-11
Human	ENSG00000102921	N4BP1	1.77453	2.4171E-34
Human	ENSG00000166446	CDYL2	1.77254	2.59905E-29
Human	ENSG00000164674	SYTL3	1.76943	8.41219E-23
Human	ENSG00000118507	AKAP7	1.76924	1.1439E-17
Human	ENSG00000130066	SAT1	1.75911	2.7288E-14
Human	ENSG00000157657	ZNF618	1.7557	9.07913E-26
Human	ENSG00000124226	RNF114	1.75389	2.01367E-41
Human	ENSG00000137275	RIPK1	1.75281	2.86683E-38
Human	ENSG00000092820	EZR	1.75246	9.34012E-32
Human	ENSG00000162878	PKDCC	1.75213	2.70506E-24
Human	ENSG00000267547	RP11-686D22.4	1.74357	5.6388E-06
Human	ENSG00000164946	FREM1	1.74141	1.38653E-07
Human	ENSG00000137460	FHDC1	1.73565	1.07998E-07
Human	ENSG00000156500	FAM122C	1.73497	6.50951E-14
Human	ENSG00000139117	CPNE8	1.73416	3.47717E-21
Human	ENSG00000048028	USP28	1.73288	1.12625E-31
Human	ENSG00000081189	MEF2C	1.73135	1.97214E-06
Human	ENSG00000054654	SYNE2	1.73132	2.52911E-22
Human	ENSG00000184588	PDE4B	1.72973	1.80057E-11
Human	ENSG00000127311	HELB	1.72328	2.56604E-08
Human	ENSG00000116863	ADPRHL2	1.72168	2.06506E-21
Human	ENSG00000183023	SLC8A1	1.72026	1.18042E-16
Human	ENSG00000082438	COBLL1	1.71647	1.53969E-16
Human	ENSG00000142408	CACNG8	1.71221	4.0091E-07
Human	ENSG00000152527	PLEKHH2	1.70716	1.7401E-14
Human	ENSG00000118804	STBD1	1.70331	7.03899E-12
Human	ENSG00000164164	OTUD4	1.70199	1.77723E-33
Human	ENSG00000140396	NCOA2	1.69879	1.84663E-23
Human	ENSG00000227145	IL21-AS1	1.69502	1.34796E-09
Human	ENSG00000272760	RP11-5C23.1	1.69305	2.20002E-08
Human	ENSG00000123240	OPTN	1.69261	1.27508E-36
Human	ENSG00000168679	SLC16A4	1.6925	1.17776E-12
Human	ENSG00000167550	RHEBL1	1.6916	4.85625E-07
Human	ENSG00000092607	TBX15	1.68715	1.20103E-26
Human	ENSG00000271646	RP11-326I11.3	1.68699	7.29499E-10
Human	ENSG00000225131	PSME2P2	1.68616	2.52448E-16
Human	ENSG00000163823	CCR1	1.68512	1.19514E-13
Human	ENSG00000146776	ATXN7L1	1.6842	1.9112E-15
Human	ENSG00000114698	PLSCR4	1.67893	3.25836E-25
Human	ENSG00000116691	MIIP	1.67873	8.303E-22
Human	ENSG00000139083	ETV6	1.67597	8.46188E-22
Human	ENSG00000118976	OTUD4P1	1.6744	1.84238E-12
Human	ENSG00000204516	MICB	1.66591	2.22362E-09
Human	ENSG00000144645	OSBPL10	1.66564	4.11272E-10
Human	ENSG00000259856	RAB43P1	1.66133	1.01186E-09
Human	ENSG00000086061	DNAJA1	1.65989	6.66243E-37
Human	ENSG00000185753	CXorf38	1.65874	4.19808E-23
Human	ENSG00000127666	TICAM1	1.65806	9.48146E-28
Human	ENSG00000118495	PLAGL1	1.65159	4.0516E-32
Human	ENSG00000118990	GLRXP3	1.64938	1.62865E-07
Human	ENSG00000175084	DES	1.64744	4.96699E-15
Human	ENSG00000138166	DUSP5	1.64168	5.1813E-14
Human	ENSG00000196371	FUT4	1.6406	1.14075E-19
Human	ENSG00000067082	KLF6	1.63307	9.61395E-32
Human	ENSG00000108387	38231	1.63183	2.54906E-08
Human	ENSG00000164211	STARD4	1.62644	1.1145E-19
Human	ENSG00000180233	ZNRF2	1.62584	1.46315E-12
Human	ENSG00000224725	CEP57L1P1	1.62557	1.10459E-08
Human	ENSG00000185033	SEMA4B	1.62342	5.75833E-16
Human	ENSG00000163872	YEATS2	1.61029	3.83697E-35
Human	ENSG00000120899	PTK2B	1.60996	6.79387E-13
Human	ENSG00000113504	SLC12A7	1.60796	2.2814E-24
Human	ENSG00000141582	CBX4	1.60629	2.26713E-17
Human	ENSG00000140563	MCTP2	1.60366	2.25076E-08
Human	ENSG00000139668	WDFY2	1.60146	4.4429E-26
Human	ENSG00000176771	NCKAP5	1.60023	8.18254E-09
Human	ENSG00000101384	JAG1	1.59961	6.75324E-10
Human	ENSG00000099968	BCL2L13	1.59865	3.0252E-22
Human	ENSG00000100918	REC8	1.5963	5.0415E-10
Human	ENSG00000101596	SMCHD1	1.596	1.35076E-31
Human	ENSG00000204103	MAFB	1.59335	2.5375E-21
Human	ENSG00000136869	TLR4	1.59269	1.28816E-08
Human	ENSG00000123737	EXOSC9	1.59008	1.388E-24
Human	ENSG00000149798	CDC42EP2	1.58962	1.63977E-25
Human	ENSG00000231672	DIRC3	1.58954	1.69234E-05
Human	ENSG00000141441	GAREM1	1.58766	4.98703E-13
Human	ENSG00000102081	FMR1	1.5875	1.38362E-23
Human	ENSG00000197142	ACSL5	1.58672	2.31162E-14
