gene_name	gene_biotype	num_isoforms_total	num_protein_coding_isoforms	num_retained_intron_isoforms	num_nonsense_mediated_decay_isoforms	num_protein_coding_CDS_not_defined_isoforms	num_non_coding_isoforms	source
PRKCZ	protein_coding	26	16	3	2	5	0	ensembl
ENSG00000308181	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000271806	lncRNA	1	0	0	0	0	1	ensembl
PRKCZ-AS1	lncRNA	2	0	0	0	0	2	ensembl
FAAP20	protein_coding	15	5	3	3	4	0	ensembl
ENSG00000304038	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000234396	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000304143	lncRNA	1	0	0	0	0	1	ensembl
SKI	protein_coding	5	1	1	0	3	0	ensembl
ENSG00000295493	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000287356	lncRNA	19	0	0	0	0	19	ensembl
MORN1	protein_coding	11	4	4	1	2	0	ensembl
ENSG00000272161	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000292993	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000272420	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000295371	lncRNA	1	0	0	0	0	1	ensembl
RER1	protein_coding	9	7	2	0	0	0	ensembl
PEX10	protein_coding	9	4	0	4	1	0	ensembl
PLCH2	protein_coding	8	5	3	0	0	0	ensembl
ENSG00000224387	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000229393	lncRNA	1	0	0	0	0	1	ensembl
PANK4	protein_coding	12	2	4	5	1	0	ensembl
HES5	protein_coding	1	1	0	0	0	0	ensembl
ENSG00000272449	lncRNA	2	0	0	0	0	2	ensembl
TNFRSF14-AS1	lncRNA	19	0	0	0	0	19	ensembl
ENSG00000307979	lncRNA	1	0	0	0	0	1	ensembl
TNFRSF14	protein_coding	16	7	7	0	2	0	ensembl
ENSG00000225931	TEC	1	0	0	0	0	1	ensembl
ENSG00000307958	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000228037	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000289610	lncRNA	1	0	0	0	0	1	ensembl
PRXL2B	protein_coding	15	8	2	0	5	0	ensembl
MMEL1	protein_coding	9	3	4	1	1	0	ensembl
MMEL1-AS1	lncRNA	12	0	0	0	0	12	ensembl
TTC34	protein_coding	2	2	0	0	0	0	ensembl
ENSG00000285945	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000283259	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000233234	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000287396	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000231630	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000302855	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000295089	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000300015	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000284745	lncRNA	4	0	0	0	0	4	ensembl
ACTRT2	protein_coding	1	1	0	0	0	0	ensembl
PRDM16-DT	lncRNA	40	0	0	0	0	40	ensembl
PRDM16	protein_coding	10	6	2	0	2	0	ensembl
MIR4251	miRNA	1	0	0	0	0	1	ensembl
ENSG00000226286	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000306427	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000279839	TEC	1	0	0	0	0	1	ensembl
ENSG00000306439	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000272235	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000287828	lncRNA	4	0	0	0	0	4	ensembl
ENSG00000286518	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000295754	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000297626	lncRNA	1	0	0	0	0	1	ensembl
ARHGEF16	protein_coding	7	5	2	0	0	0	ensembl
ENSG00000272088	lncRNA	1	0	0	0	0	1	ensembl
MEGF6	protein_coding	8	4	3	1	0	0	ensembl
MIR551A	miRNA	1	0	0	0	0	1	ensembl
ENSG00000309127	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000238260	lncRNA	12	0	0	0	0	12	ensembl
TPRG1L	protein_coding	2	2	0	0	0	0	ensembl
WRAP73	protein_coding	10	5	5	0	0	0	ensembl
TP73	protein_coding	15	11	3	0	1	0	ensembl
TP73-AS3	lncRNA	1	0	0	0	0	1	ensembl
TP73-AS2	lncRNA	1	0	0	0	0	1	ensembl
GFOD3P	lncRNA	31	0	0	0	0	31	ensembl
ENSG00000276189	misc_RNA	1	0	0	0	0	1	ensembl
CCDC27	protein_coding	3	1	1	1	0	0	ensembl
ENSG00000296834	lncRNA	1	0	0	0	0	1	ensembl
SMIM1	protein_coding	4	4	0	0	0	0	ensembl
LRRC47	protein_coding	3	1	1	1	0	0	ensembl
RN7SL574P	misc_RNA	1	0	0	0	0	1	ensembl
ENSG00000272153	lncRNA	1	0	0	0	0	1	ensembl
CEP104	protein_coding	26	12	7	5	2	0	ensembl
DFFB	protein_coding	11	3	1	7	0	0	ensembl
C1orf174	protein_coding	11	3	1	5	2	0	ensembl
LINC01134	lncRNA	24	0	0	0	0	24	ensembl
LINC01346	lncRNA	6	0	0	0	0	6	ensembl
LINC01345	lncRNA	5	0	0	0	0	5	ensembl
LINC02780	lncRNA	13	0	0	0	0	13	ensembl
ENSG00000284703	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000296871	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000308587	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000301255	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000299169	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000302287	lncRNA	2	0	0	0	0	2	ensembl
LINC01777	lncRNA	15	0	0	0	0	15	ensembl
ENSG00000306535	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000284694	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000299517	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000227169	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000295490	lncRNA	1	0	0	0	0	1	ensembl
LINC01646	lncRNA	8	0	0	0	0	8	ensembl
ENSG00000300565	lncRNA	5	0	0	0	0	5	ensembl
ENSG00000303830	lncRNA	10	0	0	0	0	10	ensembl
AJAP1	protein_coding	3	2	0	0	1	0	ensembl
ENSG00000287586	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000284739	lncRNA	3	0	0	0	0	3	ensembl
LINC02781	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000309102	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000309111	lncRNA	1	0	0	0	0	1	ensembl
LINC02782	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000296716	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000302269	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000306645	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000284616	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000302445	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000302452	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000295735	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000284692	lncRNA	4	0	0	0	0	4	ensembl
ENSG00000284666	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000260972	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000299325	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000289893	lncRNA	14	0	0	0	0	14	ensembl
ENSG00000264341	miRNA	1	0	0	0	0	1	ensembl
ENSG00000295108	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000295122	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000298180	lncRNA	1	0	0	0	0	1	ensembl
MIR4689	miRNA	1	0	0	0	0	1	ensembl
NPHP4	protein_coding	11	2	5	3	1	0	ensembl
ENSG00000299539	lncRNA	1	0	0	0	0	1	ensembl
KCNAB2	protein_coding	48	29	9	4	6	0	ensembl
CHD5	protein_coding	6	2	0	4	0	0	ensembl
ENSG00000285629	protein_coding	1	0	0	1	0	0	ensembl
RPL22	protein_coding	7	6	1	0	0	0	ensembl
RNF207-AS1	lncRNA	2	0	0	0	0	2	ensembl
RNF207	protein_coding	9	1	6	0	2	0	ensembl
ICMT	protein_coding	4	1	0	2	1	0	ensembl
ICMT-DT	lncRNA	13	0	0	0	0	13	ensembl
HES3	protein_coding	2	2	0	0	0	0	ensembl
GPR153	protein_coding	1	1	0	0	0	0	ensembl
ACOT7	protein_coding	9	6	1	2	0	0	ensembl
ENSG00000271746	lncRNA	1	0	0	0	0	1	ensembl
HES2	protein_coding	6	5	0	0	1	0	ensembl
ESPN	protein_coding	16	13	1	0	2	0	ensembl
MIR4252	miRNA	1	0	0	0	0	1	ensembl
ENSG00000231868	lncRNA	1	0	0	0	0	1	ensembl
TNFRSF25	protein_coding	21	7	6	6	2	0	ensembl
PLEKHG5	protein_coding	29	17	6	3	3	0	ensembl
ENSG00000297749	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000299237	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000299253	lncRNA	1	0	0	0	0	1	ensembl
NOL9	protein_coding	5	1	4	0	0	0	ensembl
RNU6-731P	snRNA	1	0	0	0	0	1	ensembl
TAS1R1	protein_coding	4	4	0	0	0	0	ensembl
ZBTB48	protein_coding	8	4	3	1	0	0	ensembl
KLHL21	protein_coding	5	5	0	0	0	0	ensembl
ENSG00000295286	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000304810	lncRNA	1	0	0	0	0	1	ensembl
PHF13	protein_coding	2	1	0	0	1	0	ensembl
THAP3	protein_coding	8	4	1	1	2	0	ensembl
DNAJC11	protein_coding	25	4	12	3	6	0	ensembl
LINC01672	lncRNA	8	0	0	0	0	8	ensembl
ENSG00000284744	lncRNA	1	0	0	0	0	1	ensembl
CAMTA1-DT	lncRNA	3	0	0	0	0	3	ensembl
CAMTA1	protein_coding	36	20	0	7	9	0	ensembl
CAMTA1-AS3	lncRNA	1	0	0	0	0	1	ensembl
RNU1-8P	snRNA	1	0	0	0	0	1	ensembl
ENSG00000310450	lncRNA	1	0	0	0	0	1	ensembl
CAMTA1-IT1	lncRNA	4	0	0	0	0	4	ensembl
CAMTA1-AS2	lncRNA	4	0	0	0	0	4	ensembl
ENSG00000294314	lncRNA	1	0	0	0	0	1	ensembl
CAMTA1-AS1	lncRNA	7	0	0	0	0	7	ensembl
ENSG00000298973	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000306883	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000302704	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000270171	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000270035	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000269978	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000300603	lncRNA	2	0	0	0	0	2	ensembl
VAMP3	protein_coding	3	2	1	0	0	0	ensembl
ENSG00000269925	lncRNA	1	0	0	0	0	1	ensembl
PER3	protein_coding	9	5	4	0	0	0	ensembl
ENSG00000236266	lncRNA	2	0	0	0	0	2	ensembl
UTS2	protein_coding	3	3	0	0	0	0	ensembl
ENSG00000302605	lncRNA	1	0	0	0	0	1	ensembl
TNFRSF9	protein_coding	4	3	0	1	0	0	ensembl
PARK7	protein_coding	10	7	2	0	1	0	ensembl
ENSG00000299004	lncRNA	1	0	0	0	0	1	ensembl
Y_RNA	misc_RNA	756	0	0	0	0	756	ensembl
ENSG00000284747	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000284716	lncRNA	1	0	0	0	0	1	ensembl
ERRFI1	protein_coding	5	4	0	1	0	0	ensembl
ERRFI1-DT	lncRNA	25	0	0	0	0	25	ensembl
ENSG00000301325	lncRNA	4	0	0	0	0	4	ensembl
LINC01714	lncRNA	42	0	0	0	0	42	ensembl
ENSG00000301344	lncRNA	2	0	0	0	0	2	ensembl
RNU1-7P	snRNA	1	0	0	0	0	1	ensembl
ENSG00000233645	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000298156	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000301025	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000301006	lncRNA	8	0	0	0	0	8	ensembl
RNU6-991P	snRNA	1	0	0	0	0	1	ensembl
SLC45A1	protein_coding	4	2	1	0	1	0	ensembl
RERE	protein_coding	22	15	1	0	5	1	ensembl
RERE-AS1	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000221083	snoRNA	1	0	0	0	0	1	ensembl
ENSG00000303676	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000228423	lncRNA	1	0	0	0	0	1	ensembl
ENO1	protein_coding	16	8	4	2	2	0	ensembl
MIR6728	miRNA	1	0	0	0	0	1	ensembl
ENO1-AS1	lncRNA	4	0	0	0	0	4	ensembl
RNU6-304P	snRNA	1	0	0	0	0	1	ensembl
ENSG00000310107	lncRNA	4	0	0	0	0	4	ensembl
ENSG00000310124	lncRNA	2	0	0	0	0	2	ensembl
CA6	protein_coding	6	5	0	0	1	0	ensembl
ENSG00000290109	lncRNA	3	0	0	0	0	3	ensembl
RN7SL451P	misc_RNA	1	0	0	0	0	1	ensembl
SLC2A7	protein_coding	1	1	0	0	0	0	ensembl
SLC2A5	protein_coding	10	9	1	0	0	0	ensembl
ENSG00000252404	scaRNA	1	0	0	0	0	1	ensembl
GPR157	protein_coding	3	2	1	0	0	0	ensembl
MIR34AHG	lncRNA	11	0	0	0	0	11	ensembl
MIR34A	miRNA	1	0	0	0	0	1	ensembl
ENSG00000289914	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000302015	lncRNA	1	0	0	0	0	1	ensembl
LNCTAM34A	lncRNA	28	0	0	0	0	28	ensembl
ENSG00000301983	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000301968	lncRNA	4	0	0	0	0	4	ensembl
H6PD	protein_coding	3	2	0	0	1	0	ensembl
ENSG00000302217	lncRNA	2	0	0	0	0	2	ensembl
SPSB1	protein_coding	4	4	0	0	0	0	ensembl
ENSG00000294252	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000296073	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000296056	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000307568	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000284652	lncRNA	1	0	0	0	0	1	ensembl
LINC02606	lncRNA	28	0	0	0	0	28	ensembl
ENSG00000301013	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000301030	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000306844	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000296249	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000235263	lncRNA	1	0	0	0	0	1	ensembl
SLC25A33	protein_coding	1	1	0	0	0	0	ensembl
TMEM201	protein_coding	5	3	0	1	1	0	ensembl
ENSG00000307011	lncRNA	1	0	0	0	0	1	ensembl
PIK3CD	protein_coding	23	11	9	1	2	0	ensembl
PIK3CD-AS1	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000301080	lncRNA	1	0	0	0	0	1	ensembl
PIK3CD-AS2	lncRNA	3	0	0	0	0	3	ensembl
CLSTN1	protein_coding	6	3	0	1	2	0	ensembl
ENSG00000280113	TEC	2	0	0	0	0	2	ensembl
CTNNBIP1	protein_coding	4	4	0	0	0	0	ensembl
ENSG00000223989	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000285701	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000228150	lncRNA	11	0	0	0	0	11	ensembl
LZIC	protein_coding	5	4	1	0	0	0	ensembl
NMNAT1	protein_coding	5	3	0	1	1	0	ensembl
RN7SKP269	misc_RNA	1	0	0	0	0	1	ensembl
MIR5697	miRNA	1	0	0	0	0	1	ensembl
ENSG00000241326	lncRNA	1	0	0	0	0	1	ensembl
RBP7	protein_coding	2	1	0	1	0	0	ensembl
UBE4B	protein_coding	10	5	3	1	1	0	ensembl
RNU6-828P	snRNA	1	0	0	0	0	1	ensembl
KIF1B	protein_coding	22	13	4	4	1	0	ensembl
ENSG00000264881	miRNA	1	0	0	0	0	1	ensembl
RNU6-37P	snRNA	1	0	0	0	0	1	ensembl
RN7SL731P	misc_RNA	1	0	0	0	0	1	ensembl
ENSG00000284735	lncRNA	3	0	0	0	0	3	ensembl
ENSG00000284642	lncRNA	4	0	0	0	0	4	ensembl
PGD	protein_coding	10	5	3	1	1	0	ensembl
ENSG00000271989	lncRNA	1	0	0	0	0	1	ensembl
CENPS-CORT	protein_coding	5	5	0	0	0	0	ensembl
CENPS	protein_coding	5	2	1	1	1	0	ensembl
CORT	protein_coding	1	1	0	0	0	0	ensembl
DFFA	protein_coding	3	2	0	1	0	0	ensembl
ENSG00000203469	lncRNA	1	0	0	0	0	1	ensembl
PEX14	protein_coding	4	2	1	0	1	0	ensembl
ENSG00000307253	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000287727	lncRNA	1	0	0	0	0	1	ensembl
RN7SL614P	misc_RNA	1	0	0	0	0	1	ensembl
CASZ1	protein_coding	9	3	3	0	3	0	ensembl
ENSG00000272078	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000298629	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000308013	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000307983	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000307999	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000308257	lncRNA	4	0	0	0	0	4	ensembl
C1orf127	protein_coding	5	4	1	0	0	0	ensembl
TARDBP	protein_coding	38	14	1	15	8	0	ensembl
MASP2	protein_coding	17	9	3	4	1	0	ensembl
SRM	protein_coding	6	4	1	1	0	0	ensembl
EXOSC10-AS1	lncRNA	10	0	0	0	0	10	ensembl
EXOSC10	protein_coding	11	2	6	1	2	0	ensembl
MTOR	protein_coding	16	3	7	4	2	0	ensembl
MTOR-AS1	lncRNA	2	0	0	0	0	2	ensembl
RNU6-537P	snRNA	1	0	0	0	0	1	ensembl
ANGPTL7	protein_coding	2	1	0	0	1	0	ensembl
RNU6-291P	snRNA	1	0	0	0	0	1	ensembl
ENSG00000309051	lncRNA	1	0	0	0	0	1	ensembl
UBIAD1	protein_coding	4	3	0	1	0	0	ensembl
ENSG00000284646	lncRNA	8	0	0	0	0	8	ensembl
ENSG00000302153	lncRNA	5	0	0	0	0	5	ensembl
ENSG00000302176	lncRNA	2	0	0	0	0	2	ensembl
ENSG00000299102	lncRNA	3	0	0	0	0	3	ensembl
DISP3	protein_coding	3	2	0	0	1	0	ensembl
ENSG00000285833	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000303300	lncRNA	1	0	0	0	0	1	ensembl
LINC01647	lncRNA	1	0	0	0	0	1	ensembl
ENSG00000284708	lncRNA	1	0	0	0	0	1	ensembl
