gene_name	num_isoforms	biotype	source
Rps2-ps2	1	processed_pseudogene	ensembl
Gm38216	1	processed_pseudogene	ensembl
ENSMUSG00000132588	4	lncRNA	ensembl
ENSMUSG00000135709	1	lncRNA	ensembl
ENSMUSG00000135722	1	lncRNA	ensembl
SNTG1	11	protein_coding	ensembl
Gm38024	1	TEC	ensembl
Gm16284	1	processed_pseudogene	ensembl
ENSMUSG00000123533	1	lncRNA	ensembl
Gm38259	1	TEC	ensembl
Gm54704	1	miRNA	ensembl
Gm37005	1	TEC	ensembl
Gm15452	1	processed_pseudogene	ensembl
Gm36964	1	processed_pseudogene	ensembl
Gm54706	1	miRNA	ensembl
Gm6152	1	processed_pseudogene	ensembl
Gm7445	1	processed_pseudogene	ensembl
ENSMUSG00000123491	2	lncRNA	ensembl
Gm7493	1	processed_pseudogene	ensembl
Gm37629	1	TEC	ensembl
Gm38008	1	processed_pseudogene	ensembl
Gm37143	1	TEC	ensembl
Gm6187	1	processed_pseudogene	ensembl
ENSMUSG00000135814	4	lncRNA	ensembl
Gm18299	1	processed_pseudogene	ensembl
Gm7512	1	processed_pseudogene	ensembl
RNU6-1292P	1	snRNA	ensembl
2610203C22Rik	33	lncRNA	ensembl
Gm18300	1	processed_pseudogene	ensembl
RRS1	1	protein_coding	ensembl
ADHFE1	5	protein_coding	ensembl
Gm6161	1	processed_pseudogene	ensembl
VXN	1	protein_coding	ensembl
Gm29520	1	lncRNA	ensembl
MYBL1	5	protein_coding	ensembl
ENSMUSG00000123215	2	lncRNA	ensembl
VCPIP1	1	protein_coding	ensembl
1700034P13Rik	88	lncRNA	ensembl
ENSMUSG00000128816	2	lncRNA	ensembl
SGK3	12	protein_coding	ensembl
Gm6195	1	processed_pseudogene	ensembl
Gm54812	1	snRNA	ensembl
Snhg6	55	lncRNA	ensembl
MCMDC2	6	protein_coding	ensembl
SNORD87	1	snoRNA	ensembl
TCF24	2	protein_coding	ensembl
E330040D14Rik	1	TEC	ensembl
PPP1R42	6	protein_coding	ensembl
Gm15818	1	lncRNA	ensembl
Gm57177	1	lncRNA	ensembl
Gm24674	1	snRNA	ensembl
COPS5	7	protein_coding	ensembl
CSPP1	27	protein_coding	ensembl
ENSMUSG00000137212	7	lncRNA	ensembl
1700047N06Rik	1	TEC	ensembl
ARFGEF1	8	protein_coding	ensembl
Gm54899	1	misc_RNA	ensembl
Gm37569	1	TEC	ensembl
ENSMUSG00000127523	1	lncRNA	ensembl
ENSMUSG00000123573	1	lncRNA	ensembl
CPA6	4	protein_coding	ensembl
Gm38005	1	TEC	ensembl
ENSMUSG00000130625	6	lncRNA	ensembl
Gm15604	1	processed_pseudogene	ensembl
Gm25253	1	snRNA	ensembl
ENSMUSG00000137678	1	lncRNA	ensembl
Gm15603	1	processed_pseudogene	ensembl
Gm37133	1	TEC	ensembl
Gm5522	1	processed_pseudogene	ensembl
ENSMUSG00000125508	1	lncRNA	ensembl
Gm28659	1	processed_pseudogene	ensembl
ENSMUSG00000130062	3	lncRNA	ensembl
SNORA66	1	snoRNA	ensembl
PREX2	8	protein_coding	ensembl
ENSMUSG00000127757	1	lncRNA	ensembl
ENSMUSG00000127802	3	lncRNA	ensembl
Gm24173	1	snoRNA	ensembl
Gm28686	1	processed_pseudogene	ensembl
ENSMUSG00000122491	3	lncRNA	ensembl
Gm37410	1	TEC	ensembl
ENSMUSG00000143092	1	lncRNA	ensembl
C8orf34	10	protein_coding	ensembl
Gm38178	1	TEC	ensembl
Gm29273	1	processed_pseudogene	ensembl
ENSMUSG00000139014	1	lncRNA	ensembl
ENSMUSG00000138973	3	lncRNA	ensembl
Gm38069	1	TEC	ensembl
ENSMUSG00000134440	1	lncRNA	ensembl
Gm7560	1	processed_pseudogene	ensembl
ENSMUSG00000141382	5	lncRNA	ensembl
RNU6-492P	1	snRNA	ensembl
Mir6341	1	miRNA	ensembl
ENSMUSG00000143719	2	lncRNA	ensembl
Gm2383	1	processed_pseudogene	ensembl
Gm6216	1	processed_pseudogene	ensembl
Gm17644	13	lncRNA	ensembl
Gm29663	3	lncRNA	ensembl
SULF1	10	protein_coding	ensembl
ENSMUSG00000127288	1	lncRNA	ensembl
SLCO5A1	8	protein_coding	ensembl
Gm37162	1	TEC	ensembl
ENSMUSG00000141815	9	lncRNA	ensembl
Gm5250	1	processed_pseudogene	ensembl
Gm29283	8	lncRNA	ensembl
PRDM14	1	protein_coding	ensembl
NCOA2	11	protein_coding	ensembl
Gm38376	1	TEC	ensembl
Gm37409	1	TEC	ensembl
Gm55160	1	miRNA	ensembl
Gm38223	1	TEC	ensembl
Gm37702	1	TEC	ensembl
ENSMUSG00000134412	2	lncRNA	ensembl
Gm23169	1	snRNA	ensembl
Gm38120	1	TEC	ensembl
Gm38380	1	TEC	ensembl
ENSMUSG00000134452	2	lncRNA	ensembl
Gm29570	4	lncRNA	ensembl
ENSMUSG00000134491	1	lncRNA	ensembl
ENSMUSG00000122424	6	lncRNA	ensembl
Gm7593	1	processed_pseudogene	ensembl
ENSMUSG00000126000	1	lncRNA	ensembl
TRAM1	3	protein_coding	ensembl
Gm57152	4	lncRNA	ensembl
ENSMUSG00000131318	1	lncRNA	ensembl
LACTB2	2	protein_coding	ensembl
Gm38319	1	TEC	ensembl
XKR9	1	protein_coding	ensembl
Gm26273	1	snoRNA	ensembl
Gm5523	1	processed_pseudogene	ensembl
ENSMUSG00000134219	24	lncRNA	ensembl
Gm36947	1	TEC	ensembl
Gm55173	1	misc_RNA	ensembl
Gm37400	1	TEC	ensembl
EYA1	9	protein_coding	ensembl
Gm55247	1	miRNA	ensembl
Gm37444	1	TEC	ensembl
ENSMUSG00000127312	11	lncRNA	ensembl
ENSMUSG00000127278	20	lncRNA	ensembl
ENSMUSG00000140763	2	lncRNA	ensembl
ENSMUSG00000140464	3	lncRNA	ensembl
ENSMUSG00000134469	1	lncRNA	ensembl
Gm9947	16	lncRNA	ensembl
MSC	4	protein_coding	ensembl
Gm37412	1	TEC	ensembl
Smt3h2-ps4	1	processed_pseudogene	ensembl
Rpl5-ps1	1	processed_pseudogene	ensembl
TRPA1	2	protein_coding	ensembl
Gm26345	1	snoRNA	ensembl
ENSMUSG00000125466	9	lncRNA	ensembl
Gm10566	1	processed_pseudogene	ensembl
Kcnb2	2	protein_coding	ensembl
ENSMUSG00000128216	1	lncRNA	ensembl
Gm38116	1	TEC	ensembl
Gm37138	1	TEC	ensembl
ENSMUSG00000137925	3	lncRNA	ensembl
Gm25227	1	snoRNA	ensembl
ENSMUSG00000132707	4	lncRNA	ensembl
Gm25168	1	snoRNA	ensembl
Gm6060	1	processed_pseudogene	ensembl
Gm28669	1	processed_pseudogene	ensembl
ENSMUSG00000132745	12	lncRNA	ensembl
ENSMUSG00000132786	1	lncRNA	ensembl
TERF1	4	protein_coding	ensembl
Gm37509	1	TEC	ensembl
SBSPON	1	protein_coding	ensembl
Gm55274	1	misc_RNA	ensembl
ENSMUSG00000137819	2	lncRNA	ensembl
Gm7634	1	processed_pseudogene	ensembl
C8orf89	3	protein_coding	ensembl
ENSMUSG00000136711	3	lncRNA	ensembl
Rpl7	6	protein_coding	ensembl
RDH10	2	protein_coding	ensembl
ENSMUSG00000132226	1	lncRNA	ensembl
Gm38249	1	TEC	ensembl
Gm28095	1	lncRNA	ensembl
STAU2	17	protein_coding	ensembl
Gm7568	20	lncRNA	ensembl
UBE2W	6	protein_coding	ensembl
Gm38342	1	TEC	ensembl
ELOC	11	protein_coding	ensembl
D030040B21Rik	14	lncRNA	ensembl
Idi1-ps5	1	processed_pseudogene	ensembl
TMEM70	4	protein_coding	ensembl
ENSMUSG00000125087	3	lncRNA	ensembl
LY96	3	protein_coding	ensembl
Gm29649	1	processed_pseudogene	ensembl
Gm5828	1	processed_pseudogene	ensembl
ENSMUSG00000142287	2	lncRNA	ensembl
Gm28376	1	lncRNA	ensembl
4921511E07Rik	1	TEC	ensembl
JPH1	2	protein_coding	ensembl
ENSMUSG00000127806	5	lncRNA	ensembl
ENSMUSG00000127769	5	lncRNA	ensembl
Gm28783	3	lncRNA	ensembl
GDAP1	4	protein_coding	ensembl
Gm28784	3	lncRNA	ensembl
ENSMUSG00000138285	2	lncRNA	ensembl
Gm28785	1	processed_pseudogene	ensembl
ENSMUSG00000137468	2	lncRNA	ensembl
ENSMUSG00000137506	2	lncRNA	ensembl
Gm5251	1	transcribed_processed_pseudogene	ensembl
Rbm6-ps1	1	processed_pseudogene	ensembl
Gm6075	1	processed_pseudogene	ensembl
Gm25166	1	snoRNA	ensembl
PI15	1	protein_coding	ensembl
Gm28154	2	lncRNA	ensembl
Gm16070	4	lncRNA	ensembl
CRISPLD1	3	protein_coding	ensembl
Gm28153	1	lncRNA	ensembl
Gm28756	15	lncRNA	ensembl
Gm7690	1	processed_pseudogene	ensembl
Gm18775	1	transcribed_unprocessed_pseudogene	ensembl
Gm17969	1	processed_pseudogene	ensembl
Gm28755	1	unprocessed_pseudogene	ensembl
Gm45784	1	transcribed_unprocessed_pseudogene	ensembl
CRISP1	4	protein_coding	ensembl
ENSMUSG00000142595	5	lncRNA	ensembl
Defb44-ps	1	transcribed_unprocessed_pseudogene	ensembl
ENSMUSG00000131994	1	lncRNA	ensembl
DEFB113	1	protein_coding	ensembl
DEFB110	2	protein_coding	ensembl
Gm17837	1	processed_pseudogene	ensembl
ENSMUSG00000132263	2	lncRNA	ensembl
ENSMUSG00000132383	1	lncRNA	ensembl
Gm5252	1	processed_pseudogene	ensembl
ENSMUSG00000134916	1	lncRNA	ensembl
Gm24075	1	snoRNA	ensembl
Gm28343	1	processed_pseudogene	ensembl
Gm28344	1	processed_pseudogene	ensembl
Gm15825	3	lncRNA	ensembl
TFAP2D	2	protein_coding	ensembl
Gm10075	1	processed_pseudogene	ensembl
TFAP2B	5	protein_coding	ensembl
ENSMUSG00000142982	1	lncRNA	ensembl
Gm28340	12	lncRNA	ensembl
Gm28341	1	processed_pseudogene	ensembl
Gm4849	1	processed_pseudogene	ensembl
Gm55451	1	snoRNA	ensembl
ENSMUSG00000141106	8	lncRNA	ensembl
Gm38382	1	TEC	ensembl
ENSMUSG00000142065	1	lncRNA	ensembl
ENSMUSG00000136536	5	lncRNA	ensembl
PKHD1	4	protein_coding	ensembl
Gm37315	1	TEC	ensembl
4930486I03Rik	6	lncRNA	ensembl
Gm15795	1	processed_pseudogene	ensembl
RNU6-214P	1	snRNA	ensembl
Lincmd1	2	lncRNA	ensembl
MIR206	1	miRNA	ensembl
MIR133B	1	miRNA	ensembl
ENSMUSG00000133531	1	lncRNA	ensembl
IL17A	1	protein_coding	ensembl
IL17F	4	protein_coding	ensembl
MCM3	5	protein_coding	ensembl
Gm20587	1	processed_pseudogene	ensembl
Gm28065	1	lncRNA	ensembl
Gm24723	1	snoRNA	ensembl
6720483E21Rik	6	lncRNA	ensembl
PAQR8	4	protein_coding	ensembl
Gm24171	1	snoRNA	ensembl
ENSMUSG00000133875	1	lncRNA	ensembl
Gm28064	1	processed_pseudogene	ensembl
EFHC1	2	protein_coding	ensembl
TRAM2	2	protein_coding	ensembl
ENSMUSG00000137435	1	lncRNA	ensembl
Gm28287	1	lncRNA	ensembl
ENSMUSG00000129840	7	lncRNA	ensembl
Gm2693	1	transcribed_unprocessed_pseudogene	ensembl
ENSMUSG00000129885	3	lncRNA	ensembl
Gm28836	17	lncRNA	ensembl
TMEM14A	2	protein_coding	ensembl
Gm38224	1	TEC	ensembl
GSTA5	4	protein_coding	ensembl
ENSMUSG00000138037	1	lncRNA	ensembl
Gm7094	1	transcribed_unprocessed_pseudogene	ensembl
ENSMUSG00000121505	143	lncRNA	ensembl
Gm4956	1	transcribed_unprocessed_pseudogene	ensembl
ENSMUSG00000141880	2	lncRNA	ensembl
Gm21909	1	transcribed_unprocessed_pseudogene	ensembl
ENSMUSG00000141838	3	lncRNA	ensembl
KHDC1	1	protein_coding	ensembl
Gm16329	1	transcribed_unprocessed_pseudogene	ensembl
ENSMUSG00000141922	1	lncRNA	ensembl
Gm16327	1	transcribed_processed_pseudogene	ensembl
KHDC1	1	protein_coding	ensembl
Gm2709	1	unprocessed_pseudogene	ensembl
Gm16533	1	processed_pseudogene	ensembl
KHDC1	1	protein_coding	ensembl
ENSMUSG00000129191	1	lncRNA	ensembl
Gm16328	1	transcribed_processed_pseudogene	ensembl
KCNQ5	7	protein_coding	ensembl
Gm36949	1	TEC	ensembl
ENSMUSG00000128794	1	lncRNA	ensembl
Gm7658	1	processed_pseudogene	ensembl
Gm38243	1	TEC	ensembl
ENSMUSG00000124418	4	lncRNA	ensembl
ENSMUSG00000123368	3	lncRNA	ensembl
Gm5696	1	processed_pseudogene	ensembl
ENSMUSG00000140384	1	lncRNA	ensembl
ENSMUSG00000124412	1	lncRNA	ensembl
Gm28239	1	processed_pseudogene	ensembl
ENSMUSG00000128972	2	lncRNA	ensembl
ENSMUSG00000135509	2	lncRNA	ensembl
RIMS1	7	protein_coding	ensembl
Gm26866	1	processed_pseudogene	ensembl
ENSMUSG00000131366	1	lncRNA	ensembl
ENSMUSG00000141541	3	lncRNA	ensembl
ENSMUSG00000128277	1	lncRNA	ensembl
Gm7761	1	processed_pseudogene	ensembl
Gm29506	5	lncRNA	ensembl
PPP1R14B	1	protein_coding	ensembl
ENSMUSG00000141721	8	lncRNA	ensembl
ENSMUSG00000141755	1	lncRNA	ensembl
Gm24176	1	snoRNA	ensembl
Gm6420	2	TEC	ensembl
ENSMUSG00000134304	20	lncRNA	ensembl
MIR30A	1	miRNA	ensembl
Gm27028	1	lncRNA	ensembl
MIR30C2	1	miRNA	ensembl
Gm29107	1	lncRNA	ensembl
ENSMUSG00000133147	1	lncRNA	ensembl
Gm20954	1	processed_pseudogene	ensembl
OGFRL1	4	protein_coding	ensembl
ENSMUSG00000138593	1	lncRNA	ensembl
Gm7784	1	processed_pseudogene	ensembl
Gm28822	6	lncRNA	ensembl
ENSMUSG00000142633	1	lncRNA	ensembl
B3GAT2	3	protein_coding	ensembl
SMAP1	7	protein_coding	ensembl
ENSMUSG00000141937	5	lncRNA	ensembl
ENSMUSG00000141893	2	lncRNA	ensembl
SDHAF4	2	protein_coding	ensembl
Gm26524	2	TEC	ensembl
FAM135A	9	protein_coding	ensembl
ENSMUSG00000143955	1	lncRNA	ensembl
Gm37580	1	TEC	ensembl
ENSMUSG00000122847	2	lncRNA	ensembl
Gm26607	1	processed_pseudogene	ensembl
COL9A1	4	protein_coding	ensembl
COL19A1	3	protein_coding	ensembl
ENSMUSG00000125396	5	lncRNA	ensembl
ENSMUSG00000125434	1	lncRNA	ensembl
SNORA10B	1	snoRNA	ensembl
Tubb4b-ps2	1	processed_pseudogene	ensembl
Gm28439	1	unprocessed_pseudogene	ensembl
Gm10222	1	unprocessed_pseudogene	ensembl
ENSMUSG00000138098	1	lncRNA	ensembl
Gm28438	1	transcribed_unprocessed_pseudogene	ensembl
Gm28437	1	unprocessed_pseudogene	ensembl
Atp6-ps	1	unprocessed_pseudogene	ensembl
Gm28661	1	unprocessed_pseudogene	ensembl
Gm29216	1	unprocessed_pseudogene	ensembl
ENSMUSG00000127021	1	lncRNA	ensembl
LMBRD1	6	protein_coding	ensembl
ENSMUSG00000133176	1	lncRNA	ensembl
ENSMUSG00000129414	2	lncRNA	ensembl
ENSMUSG00000143216	1	lncRNA	ensembl
Gm28594	1	processed_pseudogene	ensembl
ENSMUSG00000130976	1	lncRNA	ensembl
Gm28237	2	lncRNA	ensembl
ENSMUSG00000135830	1	lncRNA	ensembl
Gm9443	1	transcribed_processed_pseudogene	ensembl
Gm29414	3	lncRNA	ensembl
ENSMUSG00000122244	8	lncRNA	ensembl
ADGRB3	11	protein_coding	ensembl
Gm15702	1	processed_pseudogene	ensembl
ENSMUSG00000122289	2	lncRNA	ensembl
Gm20172	1	TEC	ensembl
RNU6-1035P	1	snRNA	ensembl
Gm37543	1	TEC	ensembl
Gm37331	1	TEC	ensembl
Gm37211	1	TEC	ensembl
Gm37862	1	TEC	ensembl
Gm38286	1	TEC	ensembl
Gm37880	1	TEC	ensembl
Gm25294	1	snRNA	ensembl
Gm37011	1	TEC	ensembl
Gm29214	1	processed_pseudogene	ensembl
Gm37051	1	TEC	ensembl
Gm38260	1	TEC	ensembl
Gm37628	1	TEC	ensembl
ENSMUSG00000133748	1	lncRNA	ensembl
8030445P17Rik	1	TEC	ensembl
Gm38198	1	TEC	ensembl
Gm37077	1	TEC	ensembl
Gm37895	1	TEC	ensembl
Gm36952	1	TEC	ensembl
Gm37602	1	TEC	ensembl
2900022M07Rik	1	TEC	ensembl
2900002M20Rik	1	TEC	ensembl
ENSMUSG00000144247	1	protein_coding	ensembl
Gm9884	2	TEC	ensembl
ENSMUSG00000130306	2	lncRNA	ensembl
Gm18443	1	processed_pseudogene	ensembl
Gm19123	1	processed_pseudogene	ensembl
Gm24064	1	snoRNA	ensembl
ENSMUSG00000140232	8	lncRNA	ensembl
SPATA31E1	1	protein_coding	ensembl
n-R5s209	1	rRNA	ensembl
ENSMUSG00000133566	5	lncRNA	ensembl
Gm19641	1	processed_pseudogene	ensembl
ENSMUSG00000129952	6	lncRNA	ensembl
Gm5524	3	lncRNA	ensembl
Gm18776	1	processed_pseudogene	ensembl
Gm19028	1	processed_pseudogene	ensembl
ENSMUSG00000129466	1	lncRNA	ensembl
ENSMUSG00000141222	1	lncRNA	ensembl
ENSMUSG00000139702	1	lncRNA	ensembl
Gm38089	1	TEC	ensembl
Gm7846	1	processed_pseudogene	ensembl
ENSMUSG00000138065	10	lncRNA	ensembl
SPATA31E1	1	protein_coding	ensembl
Gm5697	1	processed_pseudogene	ensembl
Gm6462	1	processed_pseudogene	ensembl
Gm53035	1	unitary_pseudogene	ensembl
ENSMUSG00000124238	1	lncRNA	ensembl
Gm18033	1	processed_pseudogene	ensembl
Y_RNA	1	misc_RNA	ensembl
Gm55769	1	miRNA	ensembl
Gm55770	1	miRNA	ensembl
ENSMUSG00000128221	1	lncRNA	ensembl
Mir6342	1	miRNA	ensembl
Gm5525	1	processed_pseudogene	ensembl
ENSMUSG00000123191	1	lncRNA	ensembl
Gm7858	1	processed_pseudogene	ensembl
Gm55771	1	miRNA	ensembl
ENSMUSG00000127937	13	lncRNA	ensembl
Gm55772	1	miRNA	ensembl
ENSMUSG00000124992	1	lncRNA	ensembl
ENSMUSG00000125037	28	lncRNA	ensembl
Gm9898	12	lncRNA	ensembl
ENSMUSG00000142156	1	lncRNA	ensembl
Gm6473	1	unprocessed_pseudogene	ensembl
Gm2914	1	processed_pseudogene	ensembl
PHF3	14	protein_coding	ensembl
Gm37522	1	TEC	ensembl
Gm37906	1	TEC	ensembl
ENSMUSG00000128750	3	lncRNA	ensembl
PTP4A1	7	protein_coding	ensembl
ENSMUSG00000139019	2	lncRNA	ensembl
ALYREF	1	protein_coding	ensembl
Gm9458	1	unprocessed_pseudogene	ensembl
ALYREF	10	protein_coding	ensembl
Gm29128	29	lncRNA	ensembl
ENSMUSG00000125934	1	lncRNA	ensembl
Gm55778	1	rRNA	ensembl
Gm7893	1	processed_pseudogene	ensembl
LGSN	2	protein_coding	ensembl
DNAAF6	1	protein_coding	ensembl
Gm26145	1	snoRNA	ensembl
Gm4850	1	unprocessed_pseudogene	ensembl
Gm28645	1	unprocessed_pseudogene	ensembl
ALYREF	1	protein_coding	ensembl
ENSMUSG00000124860	2	lncRNA	ensembl
Eef1a1-ps2	1	processed_pseudogene	ensembl
Gm19680	1	processed_pseudogene	ensembl
RNU6-948P	1	snRNA	ensembl
Gm7910	1	processed_pseudogene	ensembl
ENSMUSG00000124101	1	lncRNA	ensembl
ENSMUSG00000142221	5	lncRNA	ensembl
KHDRBS2	5	protein_coding	ensembl
RNU6-742P	1	snRNA	ensembl
Gm37999	1	TEC	ensembl
Gm37110	1	TEC	ensembl
Gm37911	1	TEC	ensembl
Gm9839	1	TEC	ensembl
Gm37792	1	TEC	ensembl
Semp2l1	1	protein_coding	ensembl
Gm24732	1	snRNA	ensembl
Gm37426	1	TEC	ensembl
Gm55794	1	misc_RNA	ensembl
Gm37151	1	TEC	ensembl
Gm28624	1	processed_pseudogene	ensembl
Gm37724	1	lncRNA	ensembl
Gm7114	1	processed_pseudogene	ensembl
Gm4785	1	processed_pseudogene	ensembl
ENSMUSG00000131675	1	lncRNA	ensembl
RNU6-155P	1	snRNA	ensembl
Gm37591	1	lncRNA	ensembl
Gm2987	1	processed_pseudogene	ensembl
ENSMUSG00000137049	1	lncRNA	ensembl
Gm25792	1	snRNA	ensembl
Gm18799	1	processed_pseudogene	ensembl
ENSMUSG00000132768	4	lncRNA	ensembl
Gm7933	1	processed_pseudogene	ensembl
Gm23453	1	snRNA	ensembl
PRIM2	3	protein_coding	ensembl
Gm29228	1	processed_pseudogene	ensembl
ENSMUSG00000138807	1	lncRNA	ensembl
Gm37618	1	TEC	ensembl
Gm17813	1	processed_pseudogene	ensembl
ENSMUSG00000138851	4	lncRNA	ensembl
1700001G17Rik	2	TEC	ensembl
Gm38173	1	TEC	ensembl
Gm57180	5	lncRNA	ensembl
RAB23	10	protein_coding	ensembl
BAG2	4	protein_coding	ensembl
Gm37905	1	TEC	ensembl
ZNF451	9	protein_coding	ensembl
ENSMUSG00000123811	1	lncRNA	ensembl
Gm15455	1	processed_pseudogene	ensembl
ENSMUSG00000123789	1	lncRNA	ensembl
BEND6	6	protein_coding	ensembl
Gm37067	1	TEC	ensembl
DST	20	protein_coding	ensembl
Gm37354	1	TEC	ensembl
Gm28631	1	processed_pseudogene	ensembl
Gm23792	1	snRNA	ensembl
ENSMUSG00000127497	2	lncRNA	ensembl
Gm38157	1	TEC	ensembl
Mir6896	1	miRNA	ensembl
Gm26788	3	lncRNA	ensembl
A930005N03Rik	1	TEC	ensembl
ENSMUSG00000143827	1	lncRNA	ensembl
ENSMUSG00000126561	1	lncRNA	ensembl
ENSMUSG00000143057	1	lncRNA	ensembl
Gm37958	1	lncRNA	ensembl
Gm37385	1	TEC	ensembl
ENSMUSG00000141576	2	lncRNA	ensembl
Gm5266	1	processed_pseudogene	ensembl
ENSMUSG00000142399	1	lncRNA	ensembl
Gm37233	8	lncRNA	ensembl
Gm3052	1	transcribed_processed_pseudogene	ensembl
ENSMUSG00000121838	1	lncRNA	ensembl
Mir5103	1	miRNA	ensembl
CCDC115	2	protein_coding	ensembl
Gm28306	1	lncRNA	ensembl
IMP4	8	protein_coding	ensembl
Gm28417	17	lncRNA	ensembl
PTPN18	7	protein_coding	ensembl
4930568A12Rik	46	lncRNA	ensembl
ENSMUSG00000140102	5	lncRNA	ensembl
Prss39	2	protein_coding	ensembl
ENSMUSG00000132507	2	lncRNA	ensembl
ENSMUSG00000128226	1	lncRNA	ensembl
Gm28416	1	processed_pseudogene	ensembl
CFC1B	1	protein_coding	ensembl
Gm28419	1	processed_pseudogene	ensembl
Prss40	3	protein_coding	ensembl
1700101I19Rik	3	lncRNA	ensembl
AMER3	1	protein_coding	ensembl
ENSMUSG00000138441	15	lncRNA	ensembl
Gm28418	1	processed_pseudogene	ensembl
Gm36984	1	processed_pseudogene	ensembl
Gm29730	1	processed_pseudogene	ensembl
AA619741	1	processed_pseudogene	ensembl
ENSMUSG00000138482	1	lncRNA	ensembl
Arhgef4	7	protein_coding	ensembl
ENSMUSG00000125398	13	lncRNA	ensembl
Gm37224	1	processed_pseudogene	ensembl
Gm37845	1	processed_pseudogene	ensembl
SMIM39	1	protein_coding	ensembl
Gm38336	1	lncRNA	ensembl
FAM168B	8	protein_coding	ensembl
Gm37127	1	TEC	ensembl
PLEKHB2	4	protein_coding	ensembl
Gm19430	1	processed_pseudogene	ensembl
Gm37670	1	processed_pseudogene	ensembl
Gm8009	1	processed_pseudogene	ensembl
